"resolution","score","stat","analysis","genotype_form","correlation","p_value","indices"
10,"RN","variance","global","combined",-0.131645569620253,0.095,41
10,"RN","variance","global","combined",-0.131645569620253,0.095,50
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,1
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,11
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,21
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,31
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,41
10,"RN","mean_lower","global","combined",-0.122151898734177,0.103,50
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,1
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,11
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,21
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,31
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,41
10,"RN","mean_upper","global","combined",0.191139240506329,0.011,50
10,"RNN","min","global","combined",-0.115189873417722,0.145,1
10,"RNN","min","global","combined",-0.115189873417722,0.145,11
10,"RNN","min","global","combined",-0.115189873417722,0.145,21
10,"RNN","min","global","combined",-0.115189873417722,0.145,31
10,"RNN","min","global","combined",-0.115189873417722,0.145,41
10,"RNN","min","global","combined",-0.115189873417722,0.145,50
10,"RNN","max","global","combined",0.103164556962025,0.166,1
10,"RNN","max","global","combined",0.103164556962025,0.166,11
10,"RNN","max","global","combined",0.103164556962025,0.166,21
10,"RNN","max","global","combined",0.103164556962025,0.166,31
10,"RNN","max","global","combined",0.103164556962025,0.166,41
10,"RNN","max","global","combined",0.103164556962025,0.166,50
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,1
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,11
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,21
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,31
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,41
10,"RNN","mean","global","combined",-0.0443037974683544,0.549,50
10,"RNN","median","global","combined",-0.0493670886075949,0.509,1
10,"RNN","median","global","combined",-0.0493670886075949,0.509,11
10,"RNN","median","global","combined",-0.0493670886075949,0.509,21
10,"RNN","median","global","combined",-0.0493670886075949,0.509,31
10,"RNN","median","global","combined",-0.0493670886075949,0.509,41
10,"RNN","median","global","combined",-0.0493670886075949,0.509,50
10,"RNN","slope","global","combined",-0.173417721518987,0.033,1
10,"RNN","slope","global","combined",-0.173417721518987,0.033,11
10,"RNN","slope","global","combined",-0.173417721518987,0.033,21
10,"RNN","slope","global","combined",-0.173417721518987,0.033,31
10,"RNN","slope","global","combined",-0.173417721518987,0.033,41
10,"RNN","slope","global","combined",-0.173417721518987,0.033,50
10,"RNN","range","global","combined",0.657594936708861,0.001,1
10,"RNN","range","global","combined",0.657594936708861,0.001,11
10,"RNN","range","global","combined",0.657594936708861,0.001,21
10,"RNN","range","global","combined",0.657594936708861,0.001,31
10,"RNN","range","global","combined",0.657594936708861,0.001,41
10,"RNN","range","global","combined",0.657594936708861,0.001,50
10,"RNN","variance","global","combined",0.662025316455696,0.001,1
10,"RNN","variance","global","combined",0.662025316455696,0.001,11
10,"RNN","variance","global","combined",0.662025316455696,0.001,21
10,"RNN","variance","global","combined",0.662025316455696,0.001,31
10,"RNN","variance","global","combined",0.662025316455696,0.001,41
10,"RNN","variance","global","combined",0.662025316455696,0.001,50
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,1
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,11
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,21
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,31
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,41
10,"RNN","mean_lower","global","combined",0.000632911392405063,0.995,50
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,1
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,11
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,21
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,31
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,41
10,"RNN","mean_upper","global","combined",-0.0556962025316456,0.509,50
10,"D_slope","min","global","combined",-0.126582278481013,0.096,1
10,"D_slope","min","global","combined",-0.126582278481013,0.096,11
10,"D_slope","min","global","combined",-0.126582278481013,0.096,21
10,"D_slope","min","global","combined",-0.126582278481013,0.096,31
10,"D_slope","min","global","combined",-0.126582278481013,0.096,41
10,"D_slope","min","global","combined",-0.126582278481013,0.096,50
10,"D_slope","max","global","combined",0.14620253164557,0.048,1
10,"D_slope","max","global","combined",0.14620253164557,0.048,11
10,"D_slope","max","global","combined",0.14620253164557,0.048,21
10,"D_slope","max","global","combined",0.14620253164557,0.048,31
10,"D_slope","max","global","combined",0.14620253164557,0.048,41
10,"D_slope","max","global","combined",0.14620253164557,0.048,50
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,1
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,11
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,21
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,31
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,41
10,"D_slope","mean","global","combined",-0.010126582278481,0.897,50
10,"D_slope","median","global","combined",0.00506329113924051,0.953,1
10,"D_slope","median","global","combined",0.00506329113924051,0.953,11
10,"D_slope","median","global","combined",0.00506329113924051,0.953,21
10,"D_slope","median","global","combined",0.00506329113924051,0.953,31
10,"D_slope","median","global","combined",0.00506329113924051,0.953,41
10,"D_slope","median","global","combined",0.00506329113924051,0.953,50
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,1
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,11
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,21
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,31
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,41
10,"D_slope","slope","global","combined",-0.144303797468354,0.059,50
10,"D_slope","range","global","combined",0.912025316455696,0.001,1
10,"D_slope","range","global","combined",0.912025316455696,0.001,11
10,"D_slope","range","global","combined",0.912025316455696,0.001,21
