"resolution","score","stat","analysis","genotype_form","correlation","p_value"
1,"PIR","mean","global","combined",-0.193037974683544,0.006
1,"PIR","median","global","combined",-0.193037974683544,0.015
1,"PIR","slope","global","combined",-0.512658227848101,0.001
1,"PIR","range","global","combined",0.822784810126582,0.001
1,"PIR","variance","global","combined",0.822784810126582,0.001
1,"PIR","mean_lower","global","combined",-0.0936708860759494,0.229
1,"PIR","mean_upper","global","combined",-0.255696202531646,0.001
1,"RDPI","min","global","combined",-0.305696202531646,0.001
1,"RDPI","max","global","combined",-0.0455696202531646,0.522
1,"RDPI","mean","global","combined",-0.187341772151899,0.016
1,"RDPI","median","global","combined",-0.187341772151899,0.019
1,"RDPI","slope","global","combined",-0.486708860759494,0.001
1,"RDPI","range","global","combined",0.838607594936709,0.001
1,"RDPI","variance","global","combined",0.838607594936709,0.001
1,"RDPI","mean_lower","global","combined",-0.108227848101266,0.148
1,"RDPI","mean_upper","global","combined",-0.237341772151899,0.001
1,"ESPI","min","global","combined",-0.144303797468354,0.077
1,"ESPI","max","global","combined",0.115822784810127,0.13
1,"ESPI","mean","global","combined",-0.0259493670886076,0.757
1,"ESPI","median","global","combined",-0.0259493670886076,0.726
1,"ESPI","slope","global","combined",-0.560759493670886,0.001
1,"ESPI","range","global","combined",1,0.001
1,"ESPI","variance","global","combined",1,0.001
1,"ESPI","mean_lower","global","combined",0.0455696202531646,0.533
1,"ESPI","mean_upper","global","combined",-0.0784810126582278,0.309
1,"ESPIID","min","global","combined",-0.144303797468354,0.072
1,"ESPIID","max","global","combined",0.115822784810127,0.125
1,"ESPIID","mean","global","combined",-0.0259493670886076,0.758
1,"ESPIID","median","global","combined",-0.0259493670886076,0.738
1,"ESPIID","slope","global","combined",-0.560759493670886,0.001
1,"ESPIID","range","global","combined",1,0.001
1,"ESPIID","variance","global","combined",1,0.001
1,"ESPIID","mean_lower","global","combined",0.0455696202531646,0.568
1,"ESPIID","mean_upper","global","combined",-0.0784810126582278,0.307
1,"PSI","min","global","combined",0.144303797468354,0.056
1,"PSI","max","global","combined",-0.115822784810127,0.131
1,"PSI","mean","global","combined",0.0259493670886076,0.727
1,"PSI","median","global","combined",0.0259493670886076,0.718
1,"PSI","slope","global","combined",0.560759493670886,0.001
1,"PSI","range","global","combined",-1,0.001
1,"PSI","variance","global","combined",-1,0.001
1,"PSI","mean_lower","global","combined",-0.0455696202531646,0.54
1,"PSI","mean_upper","global","combined",0.0784810126582278,0.315
1,"RPI","min","global","combined",-0.305696202531646,0.001
1,"RPI","max","global","combined",-0.0455696202531646,0.553
1,"RPI","mean","global","combined",-0.187341772151899,0.013
1,"RPI","median","global","combined",-0.187341772151899,0.016
1,"RPI","slope","global","combined",-0.486708860759494,0.001
1,"RPI","range","global","combined",0.838607594936709,0.001
1,"RPI","variance","global","combined",0.838607594936709,0.001
1,"RPI","mean_lower","global","combined",-0.108227848101266,0.157
1,"RPI","mean_upper","global","combined",-0.237341772151899,0.001
1,"PQ","min","global","combined",-0.144303797468354,0.065
1,"PQ","max","global","combined",0.115822784810127,0.146
1,"PQ","mean","global","combined",-0.0259493670886076,0.73
1,"PQ","median","global","combined",-0.0259493670886076,0.751
1,"PQ","slope","global","combined",-0.560759493670886,0.001
1,"PQ","range","global","combined",1,0.001
1,"PQ","variance","global","combined",1,0.001
1,"PQ","mean_lower","global","combined",0.0455696202531646,0.565
1,"PQ","mean_upper","global","combined",-0.0784810126582278,0.284
1,"PR","min","global","combined",-0.144303797468354,0.066
1,"PR","max","global","combined",0.115822784810127,0.137
1,"PR","mean","global","combined",-0.0259493670886076,0.755
1,"PR","median","global","combined",-0.0259493670886076,0.737
1,"PR","slope","global","combined",-0.560759493670886,0.001
1,"PR","range","global","combined",1,0.001
1,"PR","variance","global","combined",1,0.001
1,"PR","mean_lower","global","combined",0.0455696202531646,0.558
1,"PR","mean_upper","global","combined",-0.0784810126582278,0.293
1,"NRW","min","global","combined",-0.144303797468354,0.066
1,"NRW","max","global","combined",0.115822784810127,0.145
1,"NRW","mean","global","combined",-0.0259493670886076,0.729
1,"NRW","median","global","combined",-0.0259493670886076,0.748
1,"NRW","slope","global","combined",-0.560759493670886,0.001
1,"NRW","range","global","combined",1,0.001
1,"NRW","variance","global","combined",1,0.001
1,"NRW","mean_lower","global","combined",0.0455696202531646,0.566
1,"NRW","mean_upper","global","combined",-0.0784810126582278,0.298
1,"ESP","min","global","combined",-0.305696202531646,0.001
1,"ESP","max","global","combined",-0.0455696202531646,0.537
1,"ESP","mean","global","combined",-0.187341772151899,0.017
1,"ESP","median","global","combined",-0.187341772151899,0.017
