PS,Stat,r,p,star
CEV,variance,-0.8156821378340365,3.1620762459364767e-20,***
PFI,variance,-0.8308954524144397,1.494468107695494e-21,***
APC,variance,-0.9083919362400376,2.861109753290111e-31,***
SI,variance,-0.9456399437412096,8.462286247094654e-40,***
RSI,variance,0.8156821378340365,3.1620762459364767e-20,***
EVS,variance,-1,-0,***
CV_t,mean_lower,0.4570323488045007,2.0297125794328403e-5,***
RN,mean_lower,0.21000937646507267,0.06152171123872466,
RNN,mean_lower,0.10353961556493202,0.3607321376456014,
D_slope,mean_lower,-0.019549929676511955,0.8633398308836918,
RC,mean_lower,0.4580403187998125,1.9355891841137426e-5,***
gPi,mean_lower,0.4570323488045007,2.0297125794328403e-5,***
PPF,mean_lower,0.4749179559306142,8.544423619706753e-6,***
PPi,mean_lower,0.4131973745897796,1.3936644301428062e-4,***
PImd,mean_lower,0.4131973745897796,1.3936644301428062e-4,***
PILSM,mean_lower,0.4131973745897796,1.3936644301428062e-4,***
RTR,mean_lower,0.07344116268166902,0.5173636690442412,
PIR,mean_lower,0.39770276605719646,2.591107500721194e-4,***
RDPI,mean_lower,0.44538209095171116,3.476335630303427e-5,***
ESPI,mean_lower,-0.016432255039849974,0.8849705303125361,
ESPIID,mean_lower,0.011087669948429442,0.9222393582298104,
PSI,mean_lower,0.1347866854195968,0.2332441869697045,
RPI,mean_lower,0.44538209095171116,3.476335630303427e-5,***
PQ,mean_lower,-0.016432255039849974,0.8849705303125361,
PR,mean_lower,-0.016432255039849974,0.8849705303125361,
NRW,mean_lower,-0.016432255039849974,0.8849705303125361,
ESP,mean_lower,0.4887716830754805,4.2247333173222215e-6,***
CEV,mean_lower,0.4570323488045007,2.0297125794328403e-5,***
PFI,mean_lower,0.4380918893577121,4.8203926234620285e-5,***
APC,mean_lower,0.03234880450070324,0.7757534508238446,
SI,mean_lower,0.23112986404125646,0.03913423707636884,*
RSI,mean_lower,-0.4570323488045007,2.0297125794328403e-5,***
EVS,mean_lower,-0.03384903891233006,0.7656455280783488,
CV_t,mean_upper,0.5012423816221284,2.1817494911637796e-6,***
RN,mean_upper,-0.32175339896858884,0.0036099725414426827,**
RNN,mean_upper,0.11186122831692452,0.323213714249012,
D_slope,mean_upper,-0.06284575714955462,0.5797084212644988,
RC,mean_upper,0.5014064697609001,2.1624833658299027e-6,***
gPi,mean_upper,0.5012423816221284,2.1817494911637796e-6,***
PPF,mean_upper,0.3915611814345991,3.2859051688284005e-4,***
PPi,mean_upper,0.42916080637599624,7.122676489555767e-5,***
PImd,mean_upper,0.42916080637599624,7.122676489555767e-5,***
PILSM,mean_upper,0.42916080637599624,7.122676489555767e-5,***
RTR,mean_upper,-0.27728551336146273,0.012769993592904767,*
PIR,mean_upper,0.40014064697609003,2.3549163813780573e-4,***
RDPI,mean_upper,0.479746835443038,6.707668754967741e-6,***
ESPI,mean_upper,-0.026230661040787626,0.817344786528769,
ESPIID,mean_upper,0.00808720112517581,0.9432410957713352,
PSI,mean_upper,0.10600093764650727,0.3493661180253101,
RPI,mean_upper,0.479746835443038,6.707668754967741e-6,***
PQ,mean_upper,-0.026230661040787626,0.817344786528769,
PR,mean_upper,-0.026230661040787626,0.817344786528769,
NRW,mean_upper,-0.026230661040787626,0.817344786528769,
ESP,mean_upper,0.5308016877637131,4.087019233459465e-7,***
CEV,mean_upper,0.5012423816221284,2.1817494911637796e-6,***
PFI,mean_upper,0.4736286919831224,9.109155724625795e-6,***
APC,mean_upper,0.025433661509610878,0.8228028226105405,
SI,mean_upper,0.25872011251758087,0.020490267457523643,*
RSI,mean_upper,-0.5012423816221284,2.1817494911637796e-6,***
EVS,mean_upper,-0.02611345522737928,0.8181469010777054,
