"","CV_t","RN","RNN","D_slope","RC","gPi","PPF","PPi","PImd","PILSM","RTR","PIR","RDPI","ESPI","ESPIID","PSI","RPI","PQ","PR","NRW","ESP","CEV","PFI","APC","SI","RSI","EVS","min","max","mean","median","slope","range","variance","mean_lower","mean_upper"
"1",0.139165252043717,4.7732548076549,NA,9.54650961530981,1.32365613121923,0.139165252043717,20.8281632673935,0.244516777118773,0.244516777118773,0.244516777118773,0.244516777118773,0.277785262201891,0.0930838497660963,4.7732548076549,4.7732548076549,0.173212517603428,0.0930838497660963,4.7732548076549,9.54650961530981,9.54650961530981,0.280204459013586,13.9165252043717,0.140102229506793,4.7732548076549,0.66431731750811,0.860834747956283,22.787124579925,29.4958404753452,39.0423500906551,34.3015664041407,34.3665086464217,4.7732548076549,9.54650961530981,22.787124579925,29.4958404753452,36.7044293685384
"2",0.0956643497063689,-2.46658003255295,NA,4.93316006510589,1.21139988350219,0.095664349706369,11.9123818892852,0.174508753369716,0.174508753369716,0.174508753369716,-0.174508753369716,0.191564734495429,0.0638034142234429,2.46658003255294,2.46658003255294,0.288468747471425,0.0638034142234429,2.46658003255294,4.93316006510589,4.93316006510589,0.192616885053598,9.56643497063689,0.0963084425267989,2.46658003255294,0.235980153792873,0.904335650293631,6.08486170742023,23.3356801497712,28.268840214877,25.7854807263203,25.7519218143128,-2.46658003255295,4.93316006510589,6.08486170742023,28.268840214877,24.543800982042
"3",0.234698536659517,3.931558691234,NA,7.86311738246801,1.6145756420929,0.234698536659517,38.5765251634666,0.380642210913238,0.380642210913238,0.380642210913238,0.380642210913238,0.467870603142537,0.15779667630422,3.93155869123401,3.93155869123401,0.202775646121282,0.15779667630422,3.93155869123401,7.86311738246801,7.86311738246801,0.472557449005314,23.4698536659517,0.236278724502657,3.93155869123401,0.922795121259053,0.765301463340483,15.4592996753877,12.7943850096151,20.6575023920831,16.7526889980684,16.8061795925069,3.931558691234,7.86311738246801,15.4592996753877,12.7943850096151,18.731840992295
"4",0.15690373220835,5.11282400607367,NA,10.2256480121474,1.37264944154487,0.15690373220835,23.871342844752,0.271481873132493,0.271481873132493,0.271481873132493,0.271481873132493,0.313117304477704,0.10503066866412,5.11282400607368,5.11282400607368,0.163590510540857,0.10503066866412,5.11282400607368,10.2256480121474,10.2256480121474,0.315920280062743,15.690373220835,0.157960140031371,5.11282400607368,0.802276853345414,0.84309626779165,26.1445984951087,27.4403953746863,37.6660433868336,32.5880004964475,32.6575627278227,5.11282400607367,10.2256480121474,26.1445984951087,27.4403953746863,35.1618030573281
"5",0.160485528658614,-2.87919191620515,NA,5.75838383241029,1.38180131388804,0.160485528658614,19.1607754056508,0.276306955313095,0.276306955313095,0.276306955313096,-0.276306955313095,0.321651048047404,0.107212732842774,2.87919191620515,2.87919191620515,0.257785647526884,0.107212732842774,2.87919191620515,5.75838383241029,5.75838383241029,0.3231321042926,16.0485528658614,0.1615660521463,2.87919191620515,0.46210071040393,0.839514471341386,8.29089696443385,15.0821477636374,20.8405315960477,17.9417533402765,17.9025806611445,-2.87919191620515,5.75838383241029,8.29089696443385,20.8405315960477,16.4923642123909
"6",0.0251931009718705,-0.432470726815004,NA,0.864941453630003,1.05167562803869,0.0251931009718706,3.29639338594143,0.0491364700873262,0.0491364700873262,0.0491364700873263,-0.0491364700873262,0.0516756280386932,0.0167926892452698,0.432470726815001,0.432470726815001,0.698094544817281,0.0167926892452698,0.432470726815001,0.864941453630003,0.864941453630003,0.0507254442113184,2.51931009718705,0.0253627221056592,0.432470726815001,0.0108960349632308,0.97480689902813,0.187056895250848,16.7378992081598,17.6028406617898,17.1674279572414,17.1615440017745,-0.432470726815004,0.864941453630003,0.187056895250848,17.6028406617898,16.9497216049671
"7",0.00541837007168632,0.130743711099681,NA,0.261487422199362,1.01089542088224,0.00541837007168633,0.725378018992294,0.0107779901433635,0.0107779901433635,0.0107779901433635,0.0107779901433635,0.0108351892763703,0.00361214237537685,0.130743711099681,0.130743711099681,0.884373700409504,0.00361214237537685,0.130743711099681,0.261487422199362,0.261487422199362,0.0109097021876936,0.541837007168632,0.00545485109384673,0.130743711099681,0.000708466984768749,0.994581629928314,0.0170962911585742,23.9997541192369,24.2612415414363,24.1313872433373,24.1331660693386,0.130743711099681,0.261487422199362,0.0170962911585742,23.9997541192369,24.1972038053875
"8",0.256751784620132,3.02060150031555,NA,6.0412030006311,1.69245366522595,0.256751784620132,43.2121813198093,0.409141874577409,0.409141874577409,0.409141874577409,0.409141874577409,0.511680638058291,0.172888572453974,3.02060150031555,3.02060150031555,0.248719003840972,0.172888572453974,3.02060150031555,6.0412030006311,6.0412030006311,0.516960906934275,25.6751784620132,0.258480453467137,3.02060150031555,0.775598658812294,0.743248215379868,9.12530012278169,8.72434258638779,14.7655455870189,11.7654923962293,11.8065890152812,3.02060150031555,6.0412030006311,9.12530012278169,8.72434258638779,13.2860673011501
"9",0.0383116078779527,-0.778381707177922,NA,1.55676341435584,1.07964838665511,0.0383116078779528,4.96527567433659,0.073772524128776,0.073772524128776,0.0737725241287762,-0.073772524128776,0.0796483866551081,0.0255373300936135,0.778381707177919,0.778381707177919,0.562308977855423,0.0255373300936135,0.778381707177919,1.55676341435584,1.55676341435584,0.0771391076560554,3.83116078779527,0.0385695538280278,0.778381707177919,0.0298231247169914,0.961688392122047,0.605962196755047,19.545448184618,21.1022115989739,20.3185347781417,20.3079445508332,-0.778381707177922,1.55676341435584,0.605962196755047,21.1022115989739,19.9266963677256
"10",0.102114781166624,2.61835313052528,NA,5.23670626105057,1.22761470292784,0.102114781166624,14.7876584687607,0.185412167502542,0.185412167502542,0.185412167502542,0.185412167502542,0.203932080517418,0.0682080209999325,2.61835313052529,2.61835313052529,0.276368824138187,0.0682080209999325,2.61835313052529,5.23670626105057,5.23670626105057,0.205604607428127,10.2114781166624,0.102802303714063,2.61835313052529,0.267391116101835,0.897885218833376,6.85672491026126,23.0068892461255,28.243595507176,25.6430543027087,25.6786781548247,2.61835313052528,5.23670626105057,6.85672491026126,23.0068892461255,26.9611368310004
