method,...1,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI
RDPI,0.4943134200380846,0.9943036377363325,-0.09442530027280206,0.6183089303453463,0.7252604405692147,0.9870227247631346,0.9943036377363325,0.9519293367487811,0.9839186835327514,0.9839186835327514,0.9839186835327514,-0.12775195490854238,0.9605884342979734,1,0.7112354373965687,0.6856719354798916,-0.31931237905095167,1,0.7112354373965687,0.7112354373965672,0.7112354373965672,0.9939731370349161,0.9943036377363328,0.9149012925892436,0.521402723438242,0.906219031172612,-0.9943036377363325
ESPI,0.5322909109400262,0.7208954801293773,0.05856136651312458,0.7422127668807857,0.9776247746933738,0.6708655835889809,0.7208954801293772,0.7174420749344448,0.7448046991792239,0.7448046991792239,0.7448046991792238,0.03232028225723703,0.7295614541330272,0.7112354373965687,1,0.9612573761228537,-0.33982971227778286,0.7112354373965686,1,0.9999999999999998,0.9999999999999998,0.7069428074326947,0.7208954801293773,0.69997949150996,0.7676171999200906,0.8732942307231317,-0.7208954801293774
ESPIID,0.690918921794441,0.7080651777227386,0.026263328175164746,0.8586642623523276,0.9221087424027636,0.6311946709897323,0.7080651777227385,0.6980127980581284,0.7420281863684336,0.7420281863684336,0.7420281863684336,0.02405829152447398,0.6906430451989919,0.6856719354798916,0.9612573761228537,0.9999999999999998,-0.08569147528518604,0.6856719354798916,0.9612573761228537,0.9612573761228532,0.9612573761228532,0.6747538790848027,0.7080651777227389,0.7623445342582156,0.9068818418010227,0.8477282291644358,-0.7080651777227392
PSI,0.31634732420315154,-0.276740852672473,-0.05800744486036659,0.08761011939694185,-0.4106072045953778,-0.3770166488461893,-0.2767408526724725,-0.29576298038470733,-0.22208276894129614,-0.22208276894129614,-0.22208276894129608,0.0033807922905336484,-0.32515633093492446,-0.31931237905095167,-0.33982971227778286,-0.08569147528518604,0.9999999999999999,-0.31931237905095144,-0.33982971227778286,-0.3398297122777836,-0.3398297122777836,-0.3546313565477313,-0.27674085267247267,0.031523148512210275,0.3234603480288924,-0.3380031749517002,0.27674085267247306
RPI,0.49431342003808454,0.9943036377363325,-0.09442530027280242,0.6183089303453462,0.7252604405692146,0.9870227247631346,0.9943036377363322,0.9519293367487809,0.9839186835327514,0.9839186835327514,0.9839186835327512,-0.12775195490854277,0.9605884342979734,1,0.7112354373965686,0.6856719354798916,-0.31931237905095144,0.9999999999999998,0.7112354373965686,0.7112354373965671,0.7112354373965671,0.9939731370349164,0.9943036377363331,0.9149012925892436,0.5214027234382423,0.906219031172612,-0.9943036377363322
PQ,0.5322909109400262,0.7208954801293773,0.05856136651312458,0.7422127668807857,0.9776247746933738,0.6708655835889809,0.7208954801293772,0.7174420749344448,0.7448046991792239,0.7448046991792239,0.7448046991792238,0.03232028225723703,0.7295614541330272,0.7112354373965687,1,0.9612573761228537,-0.33982971227778286,0.7112354373965686,1,0.9999999999999998,0.9999999999999998,0.7069428074326947,0.7208954801293773,0.69997949150996,0.7676171999200906,0.8732942307231317,-0.7208954801293774
PR,0.5322909109400251,0.7208954801293758,0.058561366513126406,0.7422127668807845,0.977624774693374,0.6708655835889793,0.7208954801293759,0.7174420749344436,0.7448046991792227,0.7448046991792227,0.7448046991792225,0.03232028225723814,0.7295614541330263,0.7112354373965672,0.9999999999999998,0.9612573761228532,-0.3398297122777836,0.7112354373965671,0.9999999999999998,1,1,0.7069428074326939,0.720895480129376,0.6999794915099584,0.7676171999200896,0.8732942307231304,-0.7208954801293762
NRW,0.5322909109400251,0.7208954801293758,0.058561366513126406,0.7422127668807845,0.977624774693374,0.6708655835889793,0.7208954801293759,0.7174420749344436,0.7448046991792227,0.7448046991792227,0.7448046991792225,0.03232028225723814,0.7295614541330263,0.7112354373965672,0.9999999999999998,0.9612573761228532,-0.3398297122777836,0.7112354373965671,0.9999999999999998,1,1,0.7069428074326939,0.720895480129376,0.6999794915099584,0.7676171999200896,0.8732942307231304,-0.7208954801293762
ESP,0.4884824356062875,0.9947604249180578,-0.08022102279845807,0.6245571643584936,0.7126666172715099,0.9950244900878966,0.9947604249180576,0.9524971427897011,0.9677784010484952,0.9677784010484952,0.9677784010484952,-0.11739911395800309,0.9469831462428985,0.9939731370349161,0.7069428074326947,0.6747538790848027,-0.3546313565477313,0.9939731370349164,0.7069428074326947,0.7069428074326939,0.7069428074326939,0.9999999999999998,0.9947604249180578,0.8977336577011078,0.4932296843882378,0.90968743921346,-0.994760424918058
CEV,0.5317271254320032,0.9999999999999996,-0.07874027575820833,0.6468726087560083,0.716931949650326,0.9845496469440641,0.9999999999999999,0.9561694999864808,0.9827492400352086,0.9827492400352086,0.9827492400352086,-0.11353037062959488,0.9532595042972006,0.9943036377363328,0.7208954801293773,0.7080651777227389,-0.27674085267247267,0.9943036377363331,0.7208954801293773,0.720895480129376,0.720895480129376,0.9947604249180578,1,0.9375732372168484,0.5601459859932207,0.9113423231995225,-0.9999999999999996
PFI,0.6457195154430531,0.9375732372168483,-0.07041539244833817,0.6903356605608632,0.6650601105573787,0.8699868904192828,0.9375732372168485,0.8921892078032803,0.9542290961248622,0.9542290961248622,0.954229096124862,-0.08963414116436023,0.8923358561469299,0.9149012925892436,0.69997949150996,0.7623445342582156,0.031523148512210275,0.9149012925892436,0.69997949150996,0.6999794915099584,0.6999794915099584,0.8977336577011078,0.9375732372168484,1,0.7439235705972106,0.8394584022623743,-0.937573237216848
APC,0.7831792080850383,0.5601459859932204,-0.0034236606645980812,0.8225520718717978,0.697853025572271,0.44192727033447443,0.5601459859932206,0.54162179262688,0.6182101990710387,0.6182101990710387,0.6182101990710384,0.01832907428169068,0.5296705548549636,0.521402723438242,0.7676171999200906,0.9068818418010227,0.3234603480288924,0.5214027234382423,0.7676171999200906,0.7676171999200896,0.7676171999200896,0.4932296843882378,0.5601459859932207,0.7439235705972106,1,0.6565834126810267,-0.5601459859932212
