PS,Stat,r,p,star
gPi,mean_lower,-0.5312470698546647,3.9802689507317924e-7,***
PPF,mean_lower,-0.5542897327707454,9.595489162221184e-8,***
PPi,mean_lower,-0.5156352555086732,9.844190855845986e-7,***
PImd,mean_lower,-0.5156352555086732,9.844190855845986e-7,***
PILSM,mean_lower,-0.5156352555086732,9.844190855845986e-7,***
RTR,mean_lower,-0.15569620253164557,0.16786447170329516,
PIR,mean_lower,-0.5231364275668073,6.407292687528988e-7,***
RDPI,mean_lower,-0.5144163150492265,1.0545515350949641e-6,***
ESPI,mean_lower,0.041373652133145804,0.7155674500049162,
ESPIID,mean_lower,-0.002203469292076887,0.9845233940421138,
PSI,mean_lower,-0.11781528363806845,0.2979603809445922,
RPI,mean_lower,-0.5144163150492265,1.0545515350949641e-6,***
PQ,mean_lower,0.041373652133145804,0.7155674500049162,
PR,mean_lower,0.041373652133145804,0.7155674500049162,
NRW,mean_lower,0.041373652133145804,0.7155674500049162,
ESP,mean_lower,-0.5249648382559775,5.761450995095449e-7,***
CEV,mean_lower,-0.5312470698546647,3.9802689507317924e-7,***
PFI,mean_lower,-0.5446319737458978,1.764645401877102e-7,***
APC,mean_lower,-0.06272855133614628,0.5804169487069147,
SI,mean_lower,-0.28255977496483825,0.011101340736451366,*
RSI,mean_lower,0.5312470698546647,3.9802689507317924e-7,***
...1,mean_upper,-0.1648382559774965,0.14396885923322242,
CV_t,mean_upper,-0.5315049226441632,3.919677306259006e-7,***
RN,mean_upper,0.30646976090014066,0.005694482724413576,**
RNN,mean_upper,-0.11795593061415846,0.29737992107514594,
D_slope,mean_upper,0.026371308016877638,0.8163824966714777,
RC,mean_upper,-0.530450070323488,4.1732026677598424e-7,***
gPi,mean_upper,-0.5315049226441632,3.919677306259006e-7,***
PPF,mean_upper,-0.47233942803563056,9.708705782338403e-6,***
PPi,mean_upper,-0.5404125644631973,2.2891337768655506e-7,***
PImd,mean_upper,-0.5404125644631973,2.2891337768655506e-7,***
PILSM,mean_upper,-0.5404125644631973,2.2891337768655506e-7,***
RTR,mean_upper,0.27981715893108294,0.011943679412890446,*
PIR,mean_upper,-0.4676277543366151,1.2228828165033062e-5,***
RDPI,mean_upper,-0.5360290670417253,2.9885188438198784e-7,***
ESPI,mean_upper,0.04922644163150492,0.6645584929910012,
ESPIID,mean_upper,0.0016877637130801688,0.9881452770998227,
PSI,mean_upper,-0.10513361462728552,0.3533455825603039,
RPI,mean_upper,-0.5360290670417253,2.9885188438198784e-7,***
PQ,mean_upper,0.04922644163150492,0.6645584929910012,
PR,mean_upper,0.04922644163150492,0.6645584929910012,
NRW,mean_upper,0.04922644163150492,0.6645584929910012,
ESP,mean_upper,-0.530450070323488,4.1732026677598424e-7,***
CEV,mean_upper,-0.5315049226441632,3.919677306259006e-7,***
PFI,mean_upper,-0.544327238631036,1.7983387011656502e-7,***
APC,mean_upper,-0.0493202062822316,0.6639579855396698,
SI,mean_upper,-0.279676511954993,0.011988335131657177,*
RSI,mean_upper,0.5315049226441632,3.919677306259006e-7,***
