method,CV_t,RN,RNN,D_slope,RC,gPi,PPF,PPi,PImd,PILSM,RTR,PIR,RDPI,ESPI,ESPIID,PSI,RPI,PQ,PR,NRW,ESP,CEV,PFI,APC,SI,RSI,EVS
RTR,-0.18405976013508998,0.9031172533013232,-0.03173246500225955,0.09657467038044636,-0.23559162378614557,-0.18405976013508996,0.05126658573680729,-0.11556099814687038,-0.11556099814687038,-0.11556099814687013,1,-0.12469047239223059,-0.1652139622189558,0.02363175526066806,0.01688994239917534,-0.014024076420650972,-0.16521396221895623,0.02363175526066806,0.02363175526066852,0.02363175526066852,-0.2052220871136685,-0.18405976013508998,-0.17149554241142004,0.006777438055042874,-0.09154218096700072,0.18405976013509048,0.03280984315351152
PIR,0.9108146251637805,-0.047426561951264413,0.41290880446672845,0.6884273588963897,0.8773816234863425,0.9108146251637802,0.8461801593330711,0.9130438737372599,0.9130438737372599,0.9130438737372599,-0.12469047239223059,0.9999999999999998,0.9093680495333494,0.7083204030538023,0.6858512497966659,-0.15074965307298263,0.9093680495333498,0.7083204030538023,0.7083204030538022,0.7083204030538022,0.893173259243911,0.9108146251637804,0.9212715192458354,0.6210107302458292,0.809579663138948,-0.9108146251637802,0.6418292283873605
RDPI,0.998863885052258,-0.09958423458300997,0.6021566417272144,0.7658258961630844,0.9775557624857495,0.9988638850522578,0.95260781351512,0.9873178828643697,0.9873178828643697,0.9873178828643694,-0.1652139622189558,0.9093680495333494,0.9999999999999998,0.7766812811533058,0.7658985719085567,-0.1590342329910835,0.9999999999999998,0.7766812811533058,0.7766812811533058,0.7766812811533058,0.9820614332197094,0.9988638850522581,0.9945226573058414,0.6882864605355742,0.9248933834387637,-0.9988638850522576,0.7203450787438986
ESPI,0.7691772461612292,0.037231333832510545,0.6970602882367191,0.9872359532767423,0.6840844521155396,0.769177246161229,0.773239592425418,0.8331301645190058,0.8331301645190058,0.8331301645190059,0.02363175526066806,0.7083204030538023,0.7766812811533058,1,0.9882945882069318,-0.11826919661286572,0.7766812811533055,1,0.9999999999999996,0.9999999999999996,0.705809388580109,0.7691772461612294,0.7951202318366797,0.907075383302127,0.9147068476534188,-0.7691772461612288,0.9734561282561182
ESPIID,0.7605299044501542,0.019342789402438384,0.7658262183195642,0.9622486317460232,0.6627280989959803,0.7605299044501541,0.7714333831449637,0.8281834888296932,0.8281834888296932,0.8281834888296934,0.01688994239917534,0.6858512497966659,0.7658985719085567,0.9882945882069318,1,0.01253680442005448,0.7658985719085563,0.9882945882069318,0.9882945882069323,0.9882945882069323,0.6879014953822782,0.7605299044501544,0.7920637016176333,0.9550793082020562,0.9119987585969164,-0.7605299044501539,0.9622432479348255
PSI,-0.15723131320821493,-0.061818537870957334,0.12656432996035766,-0.23314343323823136,-0.2545450627053105,-0.15723131320821473,-0.0804639756422162,-0.09351681197635761,-0.09351681197635761,-0.09351681197635733,-0.014024076420650972,-0.15074965307298263,-0.1590342329910835,-0.11826919661286572,0.01253680442005448,1,-0.1590342329910836,-0.11826919661286572,-0.11826919661286593,-0.11826919661286593,-0.260754388520678,-0.1572313132082146,-0.08146975692264002,0.2976462242216822,-0.09920257581904451,0.15723131320821482,-0.14695251359759157
RPI,0.9988638850522581,-0.09958423458301012,0.6021566417272141,0.7658258961630839,0.9775557624857497,0.9988638850522579,0.9526078135151199,0.9873178828643697,0.9873178828643697,0.9873178828643694,-0.16521396221895623,0.9093680495333498,0.9999999999999998,0.7766812811533055,0.7658985719085563,-0.1590342329910836,1,0.7766812811533055,0.7766812811533055,0.7766812811533055,0.9820614332197095,0.9988638850522582,0.9945226573058414,0.6882864605355739,0.9248933834387636,-0.998863885052258,0.7203450787438982
PQ,0.7691772461612292,0.037231333832510545,0.6970602882367191,0.9872359532767423,0.6840844521155396,0.769177246161229,0.773239592425418,0.8331301645190058,0.8331301645190058,0.8331301645190059,0.02363175526066806,0.7083204030538023,0.7766812811533058,1,0.9882945882069318,-0.11826919661286572,0.7766812811533055,1,0.9999999999999996,0.9999999999999996,0.705809388580109,0.7691772461612294,0.7951202318366797,0.907075383302127,0.9147068476534188,-0.7691772461612288,0.9734561282561182
PR,0.7691772461612291,0.037231333832511294,0.6970602882367185,0.987235953276743,0.6840844521155395,0.7691772461612292,0.7732395924254184,0.8331301645190058,0.8331301645190058,0.8331301645190059,0.02363175526066852,0.7083204030538022,0.7766812811533058,0.9999999999999996,0.9882945882069323,-0.11826919661286593,0.7766812811533055,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.7058093885801089,0.7691772461612292,0.7951202318366801,0.9070753833021268,0.9147068476534189,-0.7691772461612287,0.9734561282561182
NRW,0.7691772461612291,0.037231333832511294,0.6970602882367185,0.987235953276743,0.6840844521155395,0.7691772461612292,0.7732395924254184,0.8331301645190058,0.8331301645190058,0.8331301645190059,0.02363175526066852,0.7083204030538022,0.7766812811533058,0.9999999999999996,0.9882945882069323,-0.11826919661286593,0.7766812811533055,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.7058093885801089,0.7691772461612292,0.7951202318366801,0.9070753833021268,0.9147068476534189,-0.7691772461612287,0.9734561282561182
ESP,0.9869996044601552,-0.13301482048957206,0.5835606410378671,0.709920684250202,0.9888383153214516,0.9869996044601544,0.9057561116109472,0.9505877075853212,0.9505877075853212,0.9505877075853212,-0.2052220871136685,0.893173259243911,0.9820614332197094,0.705809388580109,0.6879014953822782,-0.260754388520678,0.9820614332197095,0.705809388580109,0.7058093885801089,0.7058093885801089,1,0.9869996044601544,0.9635067271832235,0.5807038676576678,0.8772606879679711,-0.9869996044601552,0.663146203279141
CEV,1,-0.12130472141743696,0.6119847168821358,0.7571873148326584,0.9799139178004833,1,0.9415443720571927,0.9847661935586256,0.9847661935586256,0.9847661935586257,-0.18405976013508998,0.9108146251637804,0.9988638850522581,0.7691772461612294,0.7605299044501544,-0.1572313132082146,0.9988638850522582,0.7691772461612294,0.7691772461612292,0.7691772461612292,0.9869996044601544,1,0.993349392089234,0.6827533434302269,0.920492310141949,-0.9999999999999998,0.7147668110790844
